m,lambda,empirical_rate,cdf,cramer_rate
128,0.1333333333333333,0.03214410339007112,0.016335,0.013986243101553497
128,0.14,0.03214410339007112,0.016335,0.01273205149629128
128,0.14666666666666667,0.03214410339007112,0.016335,0.0115436457869664
128,0.15333333333333332,0.03214410339007112,0.016335,0.010419883657474122
128,0.15999999999999998,0.03214410339007112,0.016335,0.009359653711835836
128,0.16666666666666663,0.03214410339007112,0.016335,0.00836187432297511
128,0.17333333333333334,0.03214410339007112,0.016335,0.007425492536355549
128,0.18,0.021705979492322156,0.06214,0.006549483025290931
128,0.18666666666666665,0.021705979492322156,0.06214,0.005732847094952365
128,0.1933333333333333,0.014390383909539322,0.158505,0.004974611732304901
128,0.19999999999999996,0.014145597851544876,0.16355,0.004273828699388027
128,0.20666666666666667,0.014145597851544876,0.16355,0.003629573667528724
128,0.21333333333333332,0.014145597851544876,0.16355,0.0030409453902304345
128,0.21999999999999997,0.014145597851544876,0.16355,0.0025070649126319733
128,0.22666666666666663,0.014145597851544876,0.16355,0.002027074815565133
128,0.23333333333333334,0.014145597851544876,0.16355,0.0016001384923597095
128,0.24,0.014145597851544876,0.16355,0.001225439456672972
